Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Malwa Plateau,Cotton,28.9,72.6,74.9,1
Chambal Valley,Wheat,15.9,81.4,1.7,0
Chhattisgarh Plains,Paddy,33.1,88.0,39.0,0
Northern Hill Region of Chhattisgarh,Maize,30.3,71.9,14.6,1
Chhattisgarh Plains,Flaxseed,23.1,70.4,0.5,0
Jhabua Hills,Black Gram,33.5,77.2,4.0,0
Central Narmada Valley,Gram,25.3,53.6,10.6,0
Kymore Plateau & Satpura Hills,Wheat,11.3,66.0,6.2,0
Central Narmada Valley,Gram,24.3,47.6,0.6,0
Bundelkhand,Jowar,36.4,85.7,36.4,1
Kymore Plateau & Satpura Hills,Wheat,14.5,61.4,2.6,0
Nimar Plains,Wheat,7.2,67.1,8.1,1
Satpura Highlands,Maize,33.4,67.2,2.0,0
Malwa Plateau,Soybean,26.4,98.3,33.4,1
Northern Hill Region of Chhattisgarh,Niger,29.4,72.8,2.8,0
Northern Hill Region of Chhattisgarh,Niger,25.2,99.1,6.5,1
Satpura Highlands,Paddy,28.7,60.1,0.8,0
Satpura Highlands,Paddy,26.4,85.9,60.5,1
Bundelkhand,Lentil,23.7,72.1,2.7,1
Bundelkhand,Lentil,25.9,43.0,21.8,0
Satpura Highlands,Maize,31.4,79.0,46.1,1
Bundelkhand,Wheat,12.0,41.0,0.3,0
Malwa Plateau,Wheat,27.6,54.7,14.5,0
Malwa Plateau,Wheat,14.7,47.9,15.4,0
Malwa Plateau,Wheat,2.6,46.0,8.9,0
Malwa Plateau,Soybean,31.7,96.1,16.4,1
Satpura Highlands,Paddy,34.6,86.3,58.4,1
Bundelkhand,Gram,28.1,69.1,4.0,0
Bundelkhand,Jowar,21.9,103.5,60.3,1
Northern Hill Region of Chhattisgarh,Wheat,24.8,59.7,3.1,0
Malwa Plateau,Cotton,23.9,94.5,5.9,1
Chhattisgarh Plains,Flaxseed,9.1,80.5,4.4,0
Jhabua Hills,Cotton,27.9,67.3,56.8,0
Bundelkhand,Wheat,17.3,38.1,1.0,0
Malwa Plateau,Wheat,12.8,47.1,2.3,0
Chhattisgarh Plains,Paddy,29.8,69.2,29.1,0
Chhattisgarh Plains,Flaxseed,20.9,50.5,3.8,1
Northern Hill Region of Chhattisgarh,Niger,27.5,53.7,34.4,0
Jhabua Hills,Soybean,32.3,83.7,17.9,0
Bundelkhand,Gram,14.2,25.1,0.6,0
Northern Hill Region of Chhattisgarh,Wheat,14.7,40.2,2.0,0
Malwa Plateau,Wheat,28.4,63.2,7.8,0
Vindhyan Plateau,Gram,22.0,74.7,4.4,0
Northern Hill Region of Chhattisgarh,Paddy,32.8,76.5,23.4,0
Chhattisgarh Plains,Paddy,32.0,77.7,0.2,0
Central Narmada Valley,Gram,25.9,49.4,0.5,0
Jhabua Hills,Soybean,33.2,81.7,0.1,1
Jhabua Hills,Black Gram,32.1,82.5,20.3,0
Chambal Valley,Mustard,16.7,58.6,2.0,0
Malwa Plateau,Cotton,28.2,76.3,23.6,0
Satpura Highlands,Maize,29.7,65.5,19.0,0
Bundelkhand,Jowar,27.6,89.1,28.6,1
Chhattisgarh Plains,Flaxseed,7.6,38.0,2.1,1
Bundelkhand,Gram,17.5,31.4,13.0,0
Jhabua Hills,Soybean,27.6,87.1,4.5,1
Satpura Highlands,Coarse Millets,31.2,104.9,11.1,1
Nimar Plains,Sorghum,29.0,95.6,11.8,1
Central Narmada Valley,Wheat,20.1,75.1,1.3,0
Kymore Plateau & Satpura Hills,Paddy,33.6,81.1,24.5,0
Central Narmada Valley,Gram,12.6,67.2,0.7,0
Malwa Plateau,Cotton,31.9,99.0,151.8,1
Satpura Highlands,Coarse Millets,36.0,84.8,52.3,0
Central Narmada Valley,Wheat,18.7,35.3,8.0,0
Vindhyan Plateau,Paddy,33.5,96.3,29.6,1
Chhattisgarh Plains,Flaxseed,14.7,42.3,12.0,0
Jhabua Hills,Soybean,32.6,79.3,4.2,0
Bundelkhand,Wheat,24.3,36.0,4.5,0
Vindhyan Plateau,Paddy,30.9,85.3,4.1,1
Northern Hill Region of Chhattisgarh,Paddy,36.4,73.9,68.1,1
Kymore Plateau & Satpura Hills,Wheat,32.7,57.9,2.5,0
Nimar Plains,Sorghum,26.0,60.1,19.3,1
Bundelkhand,Lentil,26.4,37.7,3.0,0
Chhattisgarh Plains,Flaxseed,22.4,27.1,0.9,0
Malwa Plateau,Wheat,16.4,63.6,1.2,0
Malwa Plateau,Maize,29.9,85.2,20.4,1
Jhabua Hills,Maize,25.8,66.6,12.7,0
Jhabua Hills,Soybean,28.2,54.5,24.5,0
Jhabua Hills,Soybean,35.6,48.1,14.5,0
Central Narmada Valley,Gram,18.3,44.4,9.9,1
Northern Hill Region of Chhattisgarh,Maize,30.3,91.4,40.3,1
Bundelkhand,Lentil,19.6,50.4,1.3,0
Chhattisgarh Plains,Flaxseed,17.4,57.3,5.3,0
Bundelkhand,Lentil,24.1,35.9,9.7,0
Vindhyan Plateau,Paddy,28.9,67.3,9.8,0
Northern Hill Region of Chhattisgarh,Wheat,23.4,57.0,0.7,0
Bundelkhand,Gram,21.1,61.2,2.0,0
Chambal Valley,Sorghum,34.7,72.0,11.3,1
Chambal Valley,Wheat,17.3,56.0,10.1,0
Kymore Plateau & Satpura Hills,Soybean,29.7,63.9,18.0,0
Bundelkhand,Wheat,13.2,43.0,5.2,0
Northern Hill Region of Chhattisgarh,Maize,31.2,87.5,28.7,1
Satpura Highlands,Maize,23.5,86.6,20.2,1
Northern Hill Region of Chhattisgarh,Niger,31.0,91.8,22.9,1
Kymore Plateau & Satpura Hills,Paddy,29.4,89.7,12.1,1
Bundelkhand,Jowar,30.6,77.3,1.8,1
Chhattisgarh Plains,Paddy,33.0,98.0,74.5,1
Jhabua Hills,Black Gram,29.8,66.6,7.9,0
Chambal Valley,Sorghum,30.9,82.8,77.7,0
Nimar Plains,Sorghum,21.5,75.8,10.8,0
Chhattisgarh Plains,Kodo-Kutki,26.8,79.1,2.0,0
Chambal Valley,Wheat,24.9,41.1,16.4,0
Nimar Plains,Soybean,26.5,80.5,79.4,0
Satpura Highlands,Paddy,35.1,92.7,47.3,1
Nimar Plains,Wheat,22.1,53.1,1.0,0
Northern Hill Region of Chhattisgarh,Wheat,22.2,46.8,17.7,1
Bundelkhand,Lentil,20.1,50.4,1.9,0
Malwa Plateau,Soybean,24.4,86.0,3.2,0
Satpura Highlands,Coarse Millets,35.0,69.3,1.7,0
Malwa Plateau,Cotton,27.4,92.5,24.6,1
Northern Hill Region of Chhattisgarh,Niger,30.3,92.8,69.9,1
Kymore Plateau & Satpura Hills,Paddy,34.9,71.8,12.9,0
Nimar Plains,Wheat,17.8,71.8,2.7,0
Malwa Plateau,Maize,22.6,76.4,47.9,0
Satpura Highlands,Paddy,31.8,77.0,1.2,0
Nimar Plains,Wheat,16.8,62.0,4.4,1
Jhabua Hills,Soybean,29.6,80.7,12.8,1
Central Narmada Valley,Wheat,19.4,42.5,0.2,1
Jhabua Hills,Black Gram,32.1,94.3,6.1,1
Vindhyan Plateau,Wheat,11.5,52.7,3.6,0
Malwa Plateau,Cotton,29.7,91.3,24.4,1
Nimar Plains,Cotton,21.0,69.5,8.0,0
Chambal Valley,Mustard,22.5,47.0,6.6,0
Central Narmada Valley,Sugarcane,29.1,81.2,19.0,1
Satpura Highlands,Paddy,29.9,94.3,16.4,1
Northern Hill Region of Chhattisgarh,Wheat,26.6,33.0,4.2,0
Central Narmada Valley,Sugarcane,32.4,93.3,47.5,1
Nimar Plains,Cotton,32.0,90.3,28.5,1
Central Narmada Valley,Sugarcane,29.3,81.8,10.2,0
Bundelkhand,Jowar,36.3,84.1,7.5,0
Chhattisgarh Plains,Paddy,26.0,81.9,11.8,0
Chambal Valley,Wheat,25.9,46.5,2.5,0
Satpura Highlands,Paddy,27.8,85.9,36.8,1
Malwa Plateau,Cotton,30.5,71.6,10.6,0
Chhattisgarh Plains,Kodo-Kutki,31.5,73.7,0.6,0
Central Narmada Valley,Gram,27.8,49.0,5.7,0
Bundelkhand,Wheat,20.4,67.5,8.7,0
Bundelkhand,Lentil,25.6,69.7,1.6,1
Jhabua Hills,Cotton,31.7,82.9,48.7,1
Chambal Valley,Mustard,10.8,41.5,1.9,0
Bundelkhand,Wheat,21.8,45.7,6.3,0
Chhattisgarh Plains,Kodo-Kutki,29.4,65.8,18.9,0
Satpura Highlands,Maize,35.0,85.9,16.4,0
Malwa Plateau,Soybean,27.3,101.6,5.6,1
Central Narmada Valley,Soybean,33.6,59.4,14.2,1
Malwa Plateau,Cotton,37.9,75.4,12.6,1
Central Narmada Valley,Sugarcane,34.9,88.9,76.3,1
Chhattisgarh Plains,Kodo-Kutki,27.5,85.2,2.7,1
Central Narmada Valley,Soybean,27.6,66.2,37.4,1
Malwa Plateau,Soybean,34.1,81.1,2.2,1
Northern Hill Region of Chhattisgarh,Maize,32.5,68.3,43.1,0
Malwa Plateau,Cotton,35.6,91.1,0.8,1
Kymore Plateau & Satpura Hills,Gram,29.1,55.4,10.2,0
Vindhyan Plateau,Wheat,18.3,86.2,5.4,0
Central Narmada Valley,Soybean,29.6,98.0,1.0,1
Chhattisgarh Plains,Kodo-Kutki,25.9,73.6,39.0,0
Chambal Valley,Wheat,22.5,20.0,3.4,0
Chambal Valley,Sorghum,28.4,63.1,5.7,1
Malwa Plateau,Soybean,29.6,86.0,46.8,1
Vindhyan Plateau,Wheat,21.1,65.7,2.9,0
Vindhyan Plateau,Wheat,26.6,56.6,5.3,1
Northern Hill Region of Chhattisgarh,Maize,24.9,61.4,15.7,1
Malwa Plateau,Maize,28.1,96.7,23.0,1
Bundelkhand,Lentil,16.5,47.9,2.9,0
Jhabua Hills,Soybean,34.6,59.1,4.5,0
Nimar Plains,Wheat,24.0,31.3,2.0,0
Jhabua Hills,Cotton,29.8,85.7,6.7,0
Northern Hill Region of Chhattisgarh,Paddy,34.0,74.1,14.1,0
Chhattisgarh Plains,Paddy,27.0,64.3,11.9,0
Satpura Highlands,Paddy,32.8,91.6,14.8,1
Central Narmada Valley,Sugarcane,27.9,80.5,108.0,0
Satpura Highlands,Maize,32.9,79.0,9.5,0
Northern Hill Region of Chhattisgarh,Niger,33.7,84.2,15.2,0
Bundelkhand,Lentil,15.6,56.1,0.2,0
Bundelkhand,Gram,16.3,57.6,1.0,0
Central Narmada Valley,Wheat,19.5,49.6,1.4,0
Jhabua Hills,Maize,34.4,94.2,6.1,1
Satpura Highlands,Paddy,22.6,91.3,4.3,1
Nimar Plains,Cotton,34.0,77.0,38.1,0
Nimar Plains,Soybean,29.0,91.6,9.9,1
Central Narmada Valley,Soybean,32.9,87.6,14.3,1
Jhabua Hills,Black Gram,29.3,80.2,9.8,0
Kymore Plateau & Satpura Hills,Gram,15.6,73.3,3.0,0
Malwa Plateau,Maize,36.6,92.1,24.2,1
Chambal Valley,Mustard,20.3,66.9,3.3,0
Northern Hill Region of Chhattisgarh,Paddy,24.4,60.3,21.7,0
Chhattisgarh Plains,Flaxseed,23.0,62.8,15.6,0
Kymore Plateau & Satpura Hills,Gram,18.7,55.9,13.1,0
Satpura Highlands,Paddy,27.0,76.6,16.6,0
Vindhyan Plateau,Wheat,24.9,40.7,3.9,0
Vindhyan Plateau,Wheat,15.1,64.1,2.7,0
Chhattisgarh Plains,Flaxseed,15.2,58.3,3.7,0
Jhabua Hills,Maize,23.6,85.3,82.4,1
Kymore Plateau & Satpura Hills,Paddy,27.7,80.8,25.1,1
Kymore Plateau & Satpura Hills,Paddy,30.2,80.5,6.5,0
Northern Hill Region of Chhattisgarh,Niger,34.6,76.4,57.6,0
Northern Hill Region of Chhattisgarh,Wheat,16.4,63.4,8.6,0
Northern Hill Region of Chhattisgarh,Paddy,31.0,70.6,15.0,0
Malwa Plateau,Maize,29.7,93.1,19.2,1
Satpura Highlands,Coarse Millets,27.2,72.3,25.4,0
Nimar Plains,Sorghum,28.3,71.7,22.7,0
Northern Hill Region of Chhattisgarh,Maize,36.8,75.0,0.4,0
Chambal Valley,Wheat,23.4,45.9,7.4,0
Satpura Highlands,Paddy,23.5,99.0,11.4,1
Kymore Plateau & Satpura Hills,Soybean,35.0,77.4,27.7,0
Satpura Highlands,Maize,36.8,90.4,6.6,1
Central Narmada Valley,Soybean,29.4,73.7,11.3,1
Kymore Plateau & Satpura Hills,Paddy,33.5,58.4,2.3,1
Nimar Plains,Soybean,26.3,81.0,15.0,0
Malwa Plateau,Cotton,34.4,87.3,65.5,1
Chambal Valley,Wheat,26.1,52.1,3.7,0
Bundelkhand,Jowar,27.9,84.3,43.7,0
Bundelkhand,Wheat,16.1,30.0,0.5,1
Nimar Plains,Cotton,26.6,60.8,14.8,0
Kymore Plateau & Satpura Hills,Paddy,30.0,90.1,121.2,1
Northern Hill Region of Chhattisgarh,Niger,28.2,94.0,52.6,1
Central Narmada Valley,Gram,16.7,64.9,0.4,0
Bundelkhand,Lentil,14.8,69.7,18.6,0
Nimar Plains,Sorghum,29.9,89.8,23.3,1
Vindhyan Plateau,Gram,16.0,55.3,3.3,0
Vindhyan Plateau,Paddy,32.0,80.6,14.2,0
Vindhyan Plateau,Wheat,23.6,43.1,0.0,0
Bundelkhand,Jowar,24.8,61.2,20.8,0
Nimar Plains,Sorghum,36.6,78.8,24.2,0
Kymore Plateau & Satpura Hills,Gram,16.5,62.8,1.0,0
Malwa Plateau,Cotton,24.9,87.5,6.6,1
Vindhyan Plateau,Wheat,14.8,46.9,10.9,0
Chambal Valley,Sorghum,22.2,112.4,4.9,1
Satpura Highlands,Maize,27.7,75.3,13.6,0
Satpura Highlands,Maize,26.0,87.0,24.1,1
Northern Hill Region of Chhattisgarh,Maize,25.2,86.2,1.7,0
Malwa Plateau,Maize,33.3,64.3,17.3,0
Satpura Highlands,Maize,32.9,65.1,41.6,0
Central Narmada Valley,Soybean,31.1,82.5,77.7,0
Nimar Plains,Cotton,27.6,101.9,7.3,1
Northern Hill Region of Chhattisgarh,Niger,29.6,91.1,25.3,1
Chhattisgarh Plains,Kodo-Kutki,35.2,98.7,1.7,1
Chambal Valley,Mustard,20.4,75.8,5.7,0
Nimar Plains,Soybean,28.5,82.2,1.8,0
Satpura Highlands,Paddy,26.9,52.7,119.5,1
Chambal Valley,Sorghum,27.6,94.3,13.3,1
Central Narmada Valley,Sugarcane,29.5,71.4,2.2,0
Malwa Plateau,Maize,27.3,88.5,93.2,1
Chambal Valley,Mustard,15.7,36.8,0.4,1
Kymore Plateau & Satpura Hills,Paddy,28.8,88.2,3.3,1
Bundelkhand,Gram,24.2,49.6,3.7,0
Bundelkhand,Lentil,15.9,53.0,2.4,0
Northern Hill Region of Chhattisgarh,Paddy,28.0,70.9,65.9,0
Chambal Valley,Wheat,13.9,67.0,10.6,0
Bundelkhand,Wheat,18.8,74.1,9.2,0
Kymore Plateau & Satpura Hills,Gram,14.8,57.5,3.9,1
Central Narmada Valley,Sugarcane,31.6,72.2,42.6,0
Chambal Valley,Sorghum,32.0,88.7,19.5,1
Jhabua Hills,Soybean,32.3,58.9,29.2,1
Nimar Plains,Wheat,14.0,46.5,4.1,0
Satpura Highlands,Coarse Millets,35.2,74.9,5.7,0
Kymore Plateau & Satpura Hills,Gram,17.4,33.3,7.7,0
Central Narmada Valley,Soybean,26.9,87.8,79.3,1
Chhattisgarh Plains,Flaxseed,19.5,68.3,3.5,0
Vindhyan Plateau,Wheat,21.1,64.0,2.5,0
Jhabua Hills,Soybean,34.7,73.1,2.4,0
Vindhyan Plateau,Paddy,27.7,82.2,21.7,0
Vindhyan Plateau,Wheat,32.6,44.9,4.6,0
Chambal Valley,Mustard,15.0,55.8,5.9,0
Northern Hill Region of Chhattisgarh,Maize,32.2,74.1,18.4,0
Kymore Plateau & Satpura Hills,Wheat,15.8,48.0,1.2,0
Chhattisgarh Plains,Flaxseed,14.9,77.8,5.1,0
Chhattisgarh Plains,Flaxseed,25.7,45.4,2.4,0
Satpura Highlands,Paddy,31.4,80.6,4.5,0
Central Narmada Valley,Wheat,22.1,53.0,7.6,0
Chambal Valley,Wheat,17.1,30.5,3.1,0
Satpura Highlands,Maize,30.6,84.0,24.9,0
Kymore Plateau & Satpura Hills,Paddy,30.4,81.8,0.2,0
Nimar Plains,Soybean,29.8,89.8,0.3,1
Northern Hill Region of Chhattisgarh,Maize,33.5,71.7,92.1,0
Northern Hill Region of Chhattisgarh,Paddy,27.9,79.8,1.6,1
Nimar Plains,Cotton,20.3,90.6,10.7,1
Bundelkhand,Jowar,31.0,81.0,20.5,1
Northern Hill Region of Chhattisgarh,Maize,23.7,73.7,32.8,1
Bundelkhand,Wheat,14.4,58.5,4.2,0
Nimar Plains,Cotton,23.5,94.0,3.0,1
Vindhyan Plateau,Gram,23.2,43.3,4.1,0
Bundelkhand,Jowar,28.8,81.8,30.8,0
Central Narmada Valley,Soybean,25.7,44.9,4.5,1
Nimar Plains,Sorghum,36.5,76.9,8.6,0
Central Narmada Valley,Sugarcane,30.3,79.7,39.5,0
Kymore Plateau & Satpura Hills,Wheat,17.6,35.7,7.1,0
Jhabua Hills,Cotton,28.6,86.1,15.0,1
Northern Hill Region of Chhattisgarh,Paddy,33.5,79.1,19.3,0
Central Narmada Valley,Gram,25.2,57.6,2.4,0
Chambal Valley,Sorghum,30.5,62.7,8.5,0
Vindhyan Plateau,Paddy,34.8,86.4,12.6,1
Jhabua Hills,Black Gram,31.9,69.8,39.4,0
Chambal Valley,Mustard,18.7,57.3,20.5,0
Malwa Plateau,Maize,26.2,85.1,14.5,1
Central Narmada Valley,Gram,21.0,53.6,3.5,1
Kymore Plateau & Satpura Hills,Wheat,25.7,71.5,0.9,1
Chhattisgarh Plains,Flaxseed,21.9,38.4,0.5,0
Vindhyan Plateau,Wheat,17.4,31.1,18.1,0
Nimar Plains,Wheat,21.4,61.0,1.9,0
Central Narmada Valley,Gram,20.3,65.6,1.4,0
Northern Hill Region of Chhattisgarh,Maize,27.6,99.7,58.9,1
Bundelkhand,Gram,14.3,80.2,4.3,0
Chhattisgarh Plains,Kodo-Kutki,30.2,81.6,3.4,0
Bundelkhand,Lentil,17.7,53.0,1.0,0
Malwa Plateau,Cotton,33.5,75.5,6.1,0
Satpura Highlands,Coarse Millets,28.0,97.3,35.6,1
Malwa Plateau,Maize,31.1,89.0,51.8,0
Chhattisgarh Plains,Flaxseed,12.2,28.6,1.3,0
Chambal Valley,Sorghum,27.9,78.9,33.7,1
Kymore Plateau & Satpura Hills,Paddy,28.3,89.0,60.4,1
Nimar Plains,Wheat,15.3,66.3,8.8,0
Vindhyan Plateau,Wheat,18.1,45.8,0.4,0
Nimar Plains,Wheat,11.5,57.9,8.7,0
Nimar Plains,Soybean,32.6,98.3,1.7,1
Bundelkhand,Wheat,14.0,30.9,22.6,0
Malwa Plateau,Cotton,30.3,74.4,134.7,1
Satpura Highlands,Paddy,26.8,71.4,16.8,0
Nimar Plains,Cotton,25.5,78.7,10.4,0
Central Narmada Valley,Sugarcane,29.7,87.6,38.9,1
Kymore Plateau & Satpura Hills,Gram,18.2,42.5,7.7,1
Bundelkhand,Jowar,35.9,87.3,17.6,1
Central Narmada Valley,Soybean,27.0,64.2,16.0,0
Jhabua Hills,Soybean,29.1,55.2,5.5,0
Vindhyan Plateau,Paddy,29.2,80.1,0.2,0
Chhattisgarh Plains,Paddy,34.3,73.1,21.2,0
Chhattisgarh Plains,Kodo-Kutki,29.4,88.1,2.3,1
Jhabua Hills,Maize,30.4,54.1,51.8,0
Chhattisgarh Plains,Kodo-Kutki,27.2,61.8,13.7,0
Jhabua Hills,Maize,33.1,98.4,9.3,1
Kymore Plateau & Satpura Hills,Soybean,28.1,81.8,7.4,0
Vindhyan Plateau,Wheat,24.1,31.9,8.1,0
Satpura Highlands,Coarse Millets,34.5,106.4,57.6,1
Chambal Valley,Sorghum,27.9,98.1,26.0,1
Chambal Valley,Sorghum,30.2,110.6,3.7,0
Kymore Plateau & Satpura Hills,Soybean,31.8,67.1,33.8,0
Chambal Valley,Wheat,11.5,40.3,3.3,0
Northern Hill Region of Chhattisgarh,Paddy,30.6,67.7,10.5,0
Nimar Plains,Sorghum,31.9,90.1,14.0,1
Kymore Plateau & Satpura Hills,Wheat,25.0,39.9,3.0,0
Chambal Valley,Sorghum,22.7,71.7,21.8,0
Nimar Plains,Sorghum,34.1,93.5,11.7,1
Satpura Highlands,Coarse Millets,26.1,74.8,0.6,0
Chambal Valley,Sorghum,35.1,74.0,22.7,0
Satpura Highlands,Maize,31.1,93.9,20.5,0
Malwa Plateau,Wheat,20.1,56.3,0.7,0
Central Narmada Valley,Gram,14.5,44.6,0.1,0
Satpura Highlands,Maize,30.2,79.4,11.6,0
Chambal Valley,Sorghum,30.5,79.8,19.7,0
Chhattisgarh Plains,Flaxseed,19.9,56.0,3.8,0
Satpura Highlands,Coarse Millets,28.3,92.2,43.8,1
Northern Hill Region of Chhattisgarh,Paddy,38.1,81.0,6.7,1
Vindhyan Plateau,Gram,21.5,32.3,40.8,0
Bundelkhand,Lentil,23.2,40.2,6.6,0
Central Narmada Valley,Wheat,19.1,71.6,6.6,0
Satpura Highlands,Paddy,32.1,83.3,3.5,0
Bundelkhand,Lentil,17.0,18.5,0.2,0
Kymore Plateau & Satpura Hills,Soybean,30.6,75.3,15.7,0
Central Narmada Valley,Wheat,20.1,59.8,0.5,0
Central Narmada Valley,Gram,19.6,21.1,3.7,0
Kymore Plateau & Satpura Hills,Gram,23.7,52.8,2.2,0
Satpura Highlands,Maize,21.2,59.5,23.0,0
Kymore Plateau & Satpura Hills,Wheat,20.8,49.9,0.3,0
Malwa Plateau,Wheat,14.9,38.1,1.9,0
Satpura Highlands,Paddy,33.5,89.5,66.2,0
Chambal Valley,Wheat,31.2,56.9,5.2,0
Nimar Plains,Wheat,21.1,75.9,7.9,1
Bundelkhand,Jowar,34.8,62.7,1.8,0
Jhabua Hills,Maize,31.9,85.8,53.9,1
Jhabua Hills,Soybean,26.7,79.7,13.1,0
Central Narmada Valley,Gram,16.0,45.4,8.3,1
Bundelkhand,Wheat,20.2,59.1,1.8,0
Kymore Plateau & Satpura Hills,Paddy,32.6,91.3,1.3,0
Jhabua Hills,Soybean,31.7,75.9,12.8,0
Jhabua Hills,Black Gram,34.6,83.4,19.9,0
Satpura Highlands,Coarse Millets,35.4,64.3,3.3,1
Kymore Plateau & Satpura Hills,Soybean,38.7,64.5,24.5,0
Bundelkhand,Gram,12.2,46.7,1.8,0
Vindhyan Plateau,Paddy,30.9,85.1,12.8,1
Bundelkhand,Gram,22.8,62.2,1.6,0
Nimar Plains,Soybean,32.2,72.6,31.4,0
Malwa Plateau,Maize,26.1,109.3,10.4,1
Chhattisgarh Plains,Paddy,24.6,70.2,46.2,0
Vindhyan Plateau,Wheat,19.2,64.2,12.0,0
Chambal Valley,Mustard,23.7,51.7,9.3,0
Kymore Plateau & Satpura Hills,Wheat,24.8,68.5,16.9,0
Malwa Plateau,Cotton,25.8,92.7,2.8,1
Satpura Highlands,Maize,30.0,68.4,12.2,1
Chambal Valley,Sorghum,31.2,70.0,36.8,0
Kymore Plateau & Satpura Hills,Wheat,21.1,30.1,2.7,0
Nimar Plains,Cotton,31.6,87.6,26.1,1
Kymore Plateau & Satpura Hills,Wheat,19.5,43.5,13.4,0
Chambal Valley,Wheat,14.1,74.6,6.2,0
Vindhyan Plateau,Paddy,26.5,63.0,1.5,0
Northern Hill Region of Chhattisgarh,Paddy,33.0,73.8,0.4,0
Jhabua Hills,Black Gram,29.1,48.3,13.0,0
