Crop_Type,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
0,32.0,61.3,3.1,0
0,25.3,56.1,1.0,0
0,23.0,33.8,0.5,0
0,17.6,73.5,5.5,1
0,15.4,50.3,24.5,1
1,34.1,81.4,14.7,1
0,23.2,50.4,0.7,0
1,31.5,89.6,0.7,1
1,24.1,66.7,1.8,1
1,18.8,85.1,10.1,1
0,24.3,92.4,12.6,1
0,22.5,53.5,2.4,0
0,23.6,59.8,7.8,0
0,21.0,43.7,1.0,0
1,28.1,79.9,20.5,0
0,21.8,67.3,4.7,0
0,22.1,35.3,2.5,0
0,18.3,52.2,0.1,0
0,22.3,62.9,16.9,0
0,22.4,25.4,2.9,0
1,22.0,86.0,19.3,1
0,20.7,77.4,0.3,1
1,28.7,76.6,82.3,0
0,18.3,50.5,5.9,0
1,28.8,80.0,33.6,1
0,27.7,32.7,3.7,0
0,13.8,51.6,2.3,0
1,30.7,87.6,29.3,0
1,25.1,54.1,0.4,0
1,25.3,83.9,15.3,1
0,21.9,63.7,0.6,0
1,34.0,78.4,2.1,0
0,19.3,41.7,6.7,0
0,13.8,30.8,3.1,0
1,24.7,90.4,23.3,1
1,31.4,75.1,0.8,1
0,34.9,45.9,5.4,0
0,29.8,78.4,0.3,0
1,30.3,73.2,14.4,0
1,26.2,81.8,1.5,0
1,21.3,70.3,8.6,0
0,15.7,63.0,1.0,0
0,29.1,65.8,1.5,0
0,28.0,43.6,4.9,0
0,20.1,51.2,4.8,0
0,24.7,87.5,0.2,1
0,18.1,68.9,19.6,0
1,35.6,85.1,33.4,1
0,19.8,42.4,13.2,0
0,15.7,25.5,2.9,0
0,20.7,50.8,10.9,0
1,32.3,74.2,39.5,0
0,21.0,59.2,7.0,0
0,24.9,66.0,7.5,0
1,28.9,67.0,83.6,1
0,24.4,45.2,8.5,0
0,29.4,55.3,6.6,0
0,23.4,94.0,1.8,1
0,26.5,60.7,5.1,0
0,21.2,36.6,0.0,0
1,27.0,71.5,32.2,0
1,36.3,83.9,19.1,1
1,34.0,73.9,16.2,0
0,17.3,64.7,15.9,0
0,16.7,48.4,1.8,0
0,32.4,49.0,10.9,0
1,20.9,62.4,23.8,0
0,12.8,73.9,7.9,0
0,18.7,93.4,5.1,0
1,35.7,100.1,16.4,1
0,28.1,63.9,1.6,0
1,23.9,80.0,1.2,0
1,31.5,89.6,31.1,1
1,22.3,78.1,8.0,0
0,21.5,53.2,4.6,0
0,15.9,82.8,5.1,1
0,20.6,40.6,9.2,0
0,33.3,78.1,1.0,0
0,22.8,28.5,1.8,1
0,19.2,31.1,10.3,0
0,25.1,47.0,3.1,0
1,27.9,97.7,11.5,1
0,18.4,62.0,4.7,0
1,31.8,92.3,62.8,0
0,21.4,51.9,1.5,0
0,20.6,60.5,1.6,0
0,31.0,50.9,0.3,0
1,15.9,88.8,8.5,1
1,28.3,85.2,55.2,0
1,20.2,74.7,26.2,1
1,32.0,67.5,4.4,0
0,24.8,54.5,4.7,0
1,24.3,71.9,38.0,0
0,15.9,55.9,9.8,0
0,23.1,49.5,3.9,0
1,22.6,50.8,3.6,1
1,30.2,89.0,12.4,1
1,31.1,100.6,1.3,1
1,27.1,93.7,1.1,1
1,24.8,72.0,3.6,0
1,28.6,96.2,4.6,1
1,26.5,64.4,84.0,0
1,32.4,79.2,15.5,0
0,23.8,43.7,8.6,0
1,28.6,65.6,6.8,0
1,37.4,90.8,32.0,1
0,22.4,67.8,0.9,0
1,24.8,90.3,38.9,1
0,20.0,48.9,1.0,0
0,16.3,61.4,2.9,0
1,28.1,94.1,68.3,1
0,15.6,61.4,10.7,0
0,29.1,93.8,6.4,0
0,23.2,49.7,1.0,0
0,23.0,74.8,6.2,1
1,34.6,78.8,12.3,0
0,29.8,54.7,2.0,0
1,32.2,85.5,2.1,1
0,19.6,41.2,3.0,0
0,29.3,77.8,2.2,0
0,24.4,54.6,5.0,0
0,14.9,72.8,5.8,0
1,29.4,77.4,5.2,0
1,32.4,66.5,23.7,0
0,16.0,44.8,0.2,0
0,25.1,57.7,10.2,0
1,31.2,91.1,6.0,1
0,26.0,83.5,0.6,0
0,28.6,53.2,4.0,0
0,18.8,53.6,6.7,1
1,31.5,75.6,6.9,1
1,31.7,86.2,0.4,1
1,23.3,90.9,35.4,1
0,24.2,82.6,0.5,1
0,21.9,50.5,1.8,0
1,22.7,69.3,27.2,0
1,32.8,97.1,44.6,1
1,27.5,78.3,31.7,0
1,28.4,91.6,1.3,1
0,16.4,58.6,0.5,1
1,32.9,85.0,42.2,1
0,5.8,65.2,1.9,0
1,30.6,93.7,44.6,1
0,31.7,74.7,4.5,0
1,28.4,64.0,2.2,0
1,38.9,78.2,60.1,0
1,28.2,97.0,20.1,0
1,24.3,66.8,12.8,0
0,19.4,44.6,17.8,0
1,21.0,79.2,18.9,0
0,22.5,33.1,0.0,0
0,20.1,43.7,8.1,0
0,10.7,56.7,13.4,0
0,23.3,43.7,0.6,0
1,33.4,80.2,13.6,1
0,17.7,32.3,2.7,0
0,23.6,62.6,4.7,0
0,19.1,57.2,1.5,0
1,36.1,89.0,2.4,1
1,17.2,72.8,2.6,0
1,27.3,80.8,1.7,1
1,28.8,84.4,22.7,1
0,21.4,55.3,5.1,1
0,27.7,59.3,6.4,0
1,22.3,81.1,0.2,1
0,21.2,26.8,4.3,0
0,23.0,39.6,2.1,0
0,27.8,61.4,5.9,0
1,22.0,89.2,7.3,1
1,35.0,77.5,34.6,1
0,21.2,67.2,1.9,0
1,34.5,63.4,24.5,0
1,22.5,75.9,11.3,0
1,26.5,87.8,3.4,0
1,34.6,94.0,8.3,0
1,19.6,71.9,22.6,0
0,14.6,46.1,22.1,0
1,24.0,84.2,13.3,0
0,25.3,55.1,2.4,0
0,21.5,49.4,0.9,0
1,26.7,96.0,6.8,1
0,26.2,50.0,4.6,0
0,21.4,61.7,2.4,0
0,14.8,57.1,4.0,0
1,31.2,85.0,11.6,1
1,24.1,73.8,1.2,0
0,10.1,66.2,4.3,0
1,38.4,70.8,13.4,0
1,33.5,99.6,19.4,1
1,25.7,78.9,12.9,0
1,29.3,84.7,15.2,1
0,23.8,49.1,0.7,0
0,25.7,49.5,14.4,0
1,29.9,79.7,13.2,1
1,19.1,92.6,6.7,1
0,18.4,75.6,3.6,1
0,28.3,58.3,19.7,0
1,30.6,86.5,17.0,1
0,20.8,52.7,9.6,0
1,31.0,50.6,19.7,1
1,27.9,76.1,23.3,0
0,17.4,61.1,1.8,0
0,18.2,67.9,1.2,1
1,32.8,85.1,7.0,0
1,31.6,85.2,27.0,0
0,26.8,66.3,5.4,0
1,29.8,90.7,1.9,1
0,21.0,43.8,2.6,0
1,24.0,76.9,33.0,1
0,10.6,58.2,0.4,0
0,26.0,69.1,0.3,0
0,12.4,43.6,1.3,0
1,32.1,78.1,7.8,0
1,31.2,67.6,77.2,0
0,30.2,35.4,0.7,0
1,12.9,81.8,17.6,1
0,23.3,47.6,1.4,0
0,24.9,62.6,4.0,0
1,30.0,74.9,6.3,0
1,24.5,75.9,19.9,0
0,17.1,71.8,0.0,1
1,26.4,81.6,36.6,0
1,32.1,71.3,7.6,0
0,13.9,42.7,9.2,0
0,23.6,57.9,2.8,1
1,30.0,79.0,1.9,0
0,7.4,53.0,5.0,0
0,27.8,73.5,16.9,0
1,28.4,82.0,7.1,0
0,25.7,73.1,0.2,0
0,22.0,64.0,2.8,0
1,25.2,67.8,9.2,0
1,25.7,94.5,34.5,1
0,25.7,37.9,3.2,0
0,26.0,38.9,4.7,0
1,29.9,71.0,26.8,0
1,22.1,96.4,25.0,1
1,26.4,86.0,9.2,0
1,28.2,70.0,6.2,0
0,20.6,40.1,3.4,0
1,40.1,87.8,0.2,1
1,28.1,85.5,22.6,1
0,26.3,65.8,3.7,1
1,31.4,85.9,2.6,1
0,22.6,78.2,2.1,1
1,28.8,80.5,37.6,0
1,28.9,82.4,30.3,1
1,20.0,71.7,1.4,0
0,21.4,30.4,6.9,0
0,22.1,58.5,16.5,0
1,21.7,73.8,4.4,0
0,29.7,63.4,4.3,0
0,25.0,72.1,2.5,1
0,17.1,36.1,12.5,0
0,27.9,53.9,6.2,0
0,17.0,86.3,0.7,1
0,12.4,57.8,3.5,0
1,27.0,76.4,32.9,0
1,16.9,95.3,0.9,1
0,13.5,51.0,0.3,0
1,25.9,85.9,64.7,1
1,20.0,84.6,11.5,1
1,28.9,73.4,79.5,0
1,30.1,80.2,28.3,1
0,32.8,52.1,1.4,0
1,23.2,84.7,16.7,1
1,26.4,80.0,0.2,0
0,14.5,64.1,1.9,0
0,19.2,59.0,2.8,0
1,38.5,77.5,2.5,0
1,31.7,78.2,100.0,0
1,24.8,93.2,10.0,1
1,18.7,90.1,31.0,1
1,18.1,88.9,21.4,1
1,28.1,70.5,5.0,0
0,19.6,65.3,15.0,0
1,37.9,64.4,14.5,0
1,23.5,66.7,44.9,1
0,20.9,68.8,7.6,0
0,13.3,54.8,4.5,0
0,27.3,48.7,1.2,0
0,6.4,58.0,8.3,0
1,34.2,69.3,29.5,0
1,19.1,83.2,11.1,0
1,29.7,75.1,0.0,0
1,24.6,80.3,72.3,1
1,22.6,69.1,5.2,0
1,31.4,68.5,27.1,0
0,11.6,44.8,2.0,0
1,25.7,84.6,9.3,1
0,18.4,76.3,4.5,1
0,22.5,42.9,6.2,0
1,30.1,94.0,60.8,0
0,25.9,32.5,1.8,0
1,26.1,82.5,14.4,1
0,25.6,52.3,8.8,0
1,26.4,98.0,50.8,1
0,26.0,61.3,1.6,0
1,25.2,69.0,8.2,1
1,30.2,87.8,26.0,1
1,28.0,86.7,9.6,1
1,31.5,88.5,9.7,0
1,20.4,76.4,24.4,0
0,25.0,55.7,0.3,0
0,26.2,61.3,1.0,0
0,9.1,71.5,0.7,0
1,25.6,71.4,6.9,1
0,28.4,64.3,1.4,0
1,34.1,82.6,47.3,0
1,26.2,81.4,15.9,1
0,15.8,34.7,4.9,0
0,18.2,78.0,0.4,1
1,25.3,62.9,23.1,0
0,21.1,46.8,14.5,0
1,33.6,94.5,4.4,1
1,25.9,82.6,6.5,1
1,29.7,79.5,1.4,0
1,26.8,70.8,26.8,0
1,18.8,70.7,10.1,0
0,21.5,33.3,1.6,0
0,23.2,56.0,4.6,0
1,25.3,77.3,18.3,0
1,21.5,88.3,0.3,1
0,26.9,37.8,6.1,0
0,15.3,41.2,4.6,0
1,30.8,83.4,4.5,1
0,28.3,72.5,2.6,0
1,20.3,85.1,12.0,1
0,28.7,50.0,1.0,0
1,27.9,78.3,1.9,0
0,21.2,67.4,1.5,0
1,36.7,93.8,20.3,1
0,19.0,59.0,1.1,0
0,17.3,44.6,1.6,0
1,27.7,72.8,26.4,0
0,18.5,58.6,15.1,0
1,30.5,84.7,54.0,1
0,24.9,36.4,6.8,0
1,24.2,80.4,9.3,1
0,28.4,90.5,1.6,0
1,29.5,87.2,31.0,1
0,14.0,65.4,6.1,0
1,38.0,72.3,55.1,0
0,18.7,67.9,2.9,0
1,28.1,60.8,1.2,0
1,25.5,94.4,21.3,1
1,26.6,77.2,1.5,0
0,26.7,60.1,8.4,0
1,26.3,73.9,7.4,0
0,39.7,73.7,2.2,0
1,30.4,85.5,7.4,1
0,21.2,59.9,2.2,0
1,26.9,71.5,16.1,0
0,24.2,50.3,5.6,0
0,24.5,64.1,2.9,0
1,30.4,70.7,4.0,0
0,19.5,50.6,0.9,0
0,27.9,68.8,3.6,0
1,24.5,67.4,2.2,0
0,36.6,61.5,1.4,0
0,13.7,46.5,1.2,1
0,28.1,86.3,2.7,0
1,37.4,83.9,24.2,1
0,6.2,55.1,10.2,0
1,22.9,80.9,18.6,0
0,16.6,48.9,5.9,0
0,27.2,51.5,1.1,0
0,20.2,54.2,7.9,0
1,41.1,68.9,19.8,0
0,23.7,81.4,9.0,1
0,21.7,73.4,2.0,1
1,21.4,78.0,38.6,1
0,17.2,54.0,2.5,0
1,27.8,80.6,1.4,1
1,32.2,57.5,68.9,0
0,18.4,58.2,2.4,0
1,18.6,86.2,5.0,1
0,18.3,52.2,2.3,0
1,32.5,92.7,24.7,0
1,31.3,68.6,13.2,0
0,25.6,65.0,4.0,0
1,30.3,94.6,30.5,1
1,28.4,94.1,3.0,1
1,35.0,87.0,3.7,1
1,29.5,84.6,47.8,1
1,36.5,90.7,44.0,1
0,15.8,61.0,3.2,0
1,23.8,73.5,7.5,0
0,19.8,33.9,11.9,0
1,23.5,95.2,34.5,1
0,18.1,67.8,5.9,0
0,23.0,63.3,2.0,0
1,31.0,70.5,4.9,0
1,32.2,67.7,33.7,0
1,24.5,85.8,1.9,1
0,15.9,25.6,0.2,0
1,29.7,64.4,0.8,0
0,26.1,50.5,11.0,0
0,24.0,59.7,1.4,0
0,26.5,64.2,9.8,1
1,22.9,77.6,0.5,0
1,29.7,94.3,7.5,1
0,25.7,74.9,7.2,0
0,24.3,71.4,4.1,1
1,29.2,90.5,17.4,1
0,19.9,78.5,6.1,1
1,30.5,66.0,52.7,1
0,24.2,23.5,1.2,1
1,31.1,88.9,18.0,0
0,33.7,47.4,5.7,0
1,37.8,80.0,23.9,1
0,17.5,47.7,5.1,0
1,30.8,71.2,12.1,0
1,26.3,83.4,0.4,1
0,31.3,67.8,9.1,0
0,22.3,63.4,3.4,0
1,29.2,68.5,6.5,1
0,32.5,78.6,2.2,0
1,27.6,75.5,1.8,0
0,15.2,64.3,9.9,0
1,31.1,72.0,6.8,0
1,29.3,88.2,72.5,1
1,25.4,78.0,74.1,0
1,27.0,72.5,1.5,0
1,27.1,64.5,6.3,0
1,26.7,77.6,72.3,0
0,21.6,62.2,1.6,0
0,14.8,39.4,1.3,0
0,17.4,35.6,5.6,0
1,31.0,74.4,3.2,0
1,27.8,71.5,7.2,0
1,26.2,83.0,17.4,1
1,29.7,70.0,6.4,0
0,21.5,42.5,1.8,0
0,21.3,45.5,3.1,0
1,37.2,88.1,30.0,1
0,24.4,26.1,9.2,1
0,20.3,67.7,1.1,0
1,27.7,97.0,13.2,1
0,27.7,49.5,2.6,0
1,35.8,77.3,2.7,0
0,33.4,79.4,3.4,0
1,29.5,64.8,9.3,0
1,29.1,69.0,4.1,0
1,25.0,74.6,34.9,0
1,22.5,82.2,9.4,1
0,17.7,51.5,4.1,0
1,25.3,84.8,22.3,1
1,30.0,76.9,5.7,0
1,30.7,92.3,27.7,1
0,9.5,46.2,0.5,0
1,23.3,73.3,5.4,1
0,8.6,23.2,7.1,0
1,14.3,75.0,18.2,1
0,18.8,75.8,8.8,0
0,22.8,23.0,4.8,1
1,30.5,119.3,1.0,0
0,9.5,80.9,9.1,0
1,27.8,75.8,5.4,0
1,25.2,83.3,18.7,1
1,25.9,68.7,32.3,0
0,18.8,60.4,7.4,0
0,26.1,82.7,13.2,0
1,28.5,93.0,29.9,1
1,27.0,79.4,65.1,0
0,21.3,58.2,4.7,0
1,32.3,75.4,58.8,1
1,23.6,89.6,6.6,1
1,32.4,94.7,92.3,1
0,18.4,51.6,2.9,0
0,28.0,48.0,13.7,0
0,25.8,52.1,0.3,0
1,29.6,68.5,3.3,1
1,28.4,50.1,5.7,0
1,34.0,87.8,28.0,1
0,16.3,81.2,2.6,1
1,33.7,68.9,6.3,0
1,25.4,69.4,11.2,0
1,29.8,74.3,15.2,0
1,18.4,79.3,18.1,0
0,27.5,56.6,2.1,0
0,25.3,58.0,8.6,0
1,31.7,82.9,10.2,1
0,21.3,56.4,4.3,0
0,31.1,64.0,0.2,0
1,23.2,80.8,3.8,1
1,29.7,78.4,34.2,1
0,10.6,42.1,0.3,0
1,25.9,98.9,5.1,1
0,24.9,31.8,2.2,0
1,27.5,93.3,8.6,1
0,18.5,70.6,1.2,0
1,20.4,51.7,36.8,0
0,29.2,48.1,8.7,0
0,10.8,49.2,13.5,0
0,23.1,61.7,3.8,0
1,15.6,73.4,3.5,0
0,22.4,61.7,6.3,0
0,16.2,51.9,4.7,1
1,25.1,82.2,8.8,1
1,33.8,76.6,33.7,0
0,13.8,44.4,0.6,0
0,32.4,42.1,5.4,0
1,22.0,76.0,3.4,0
1,27.5,74.7,3.7,1
1,20.4,83.2,14.0,1
1,29.1,86.9,19.9,1
1,29.0,96.3,22.6,1
0,26.7,63.3,0.8,0
1,34.0,81.4,11.3,1
0,20.9,59.6,9.3,0
0,10.3,57.2,4.3,0
0,21.4,61.3,6.5,0
1,33.2,85.8,58.7,1
0,17.8,67.8,23.2,0
0,31.9,71.1,5.8,0
1,21.5,85.7,7.3,1
0,15.0,50.8,0.9,0
0,24.3,58.8,0.4,0
1,33.2,96.6,3.6,1
0,24.9,49.6,13.0,0
0,10.5,74.8,0.1,0
0,21.5,54.4,4.4,0
1,28.2,84.4,6.4,1
1,30.4,77.3,9.4,0
1,27.5,74.0,35.7,0
0,17.8,44.3,8.5,1
0,21.3,41.6,2.1,0
1,13.5,76.3,8.1,0
0,14.6,56.6,4.2,0
0,18.4,61.8,0.8,0
1,22.2,62.5,22.8,0
1,27.5,75.8,23.9,0
0,14.1,66.6,10.9,0
0,16.0,43.7,2.6,0
0,27.9,62.7,5.6,0
1,22.5,76.7,26.8,0
1,22.0,88.9,1.7,1
1,32.5,98.3,40.2,1
1,39.4,73.8,10.6,0
0,26.3,26.8,9.5,0
1,28.9,84.3,34.7,1
1,23.2,73.2,29.0,0
1,32.5,84.5,7.8,1
1,36.3,95.2,22.9,1
1,19.7,74.8,29.3,0
0,15.7,66.4,4.9,0
0,23.7,40.2,9.5,0
1,23.8,92.5,13.0,1
0,19.5,24.6,0.1,0
1,22.6,99.1,15.9,1
1,33.0,67.5,67.2,0
0,23.1,69.1,4.1,0
0,12.0,70.9,12.5,0
1,30.2,72.7,6.9,0
1,31.0,83.0,31.4,1
1,29.8,81.5,7.0,0
0,16.7,44.3,5.4,0
1,26.8,80.5,26.1,1
1,31.3,99.4,8.4,0
1,29.2,86.5,2.2,1
0,27.3,65.8,0.6,0
1,23.4,93.6,5.9,0
1,33.9,81.3,63.2,1
0,16.8,55.5,4.0,0
1,20.2,95.0,5.5,0
1,24.9,77.1,3.9,1
0,30.5,17.7,10.3,1
1,34.4,83.4,7.9,1
0,32.1,40.8,5.7,0
0,24.0,40.9,0.7,0
1,33.5,90.6,28.0,1
1,36.8,80.0,19.3,0
1,38.4,69.9,37.9,0
1,27.7,70.2,17.6,0
0,23.2,41.4,3.9,0
1,33.5,84.8,0.8,1
0,15.4,67.5,1.8,0
1,35.9,85.7,9.1,1
1,21.2,78.5,24.2,0
1,31.5,77.6,0.4,0
0,15.8,73.5,5.6,1
1,26.6,95.9,10.6,1
1,25.4,76.6,17.6,1
1,25.0,78.3,8.3,0
1,30.3,70.2,121.9,0
0,15.1,29.7,0.6,0
1,19.0,66.4,21.6,0
0,18.8,57.7,8.4,1
0,24.4,57.0,0.8,0
0,30.7,82.1,2.6,0
0,20.3,40.5,0.9,0
0,35.0,72.9,10.3,0
0,28.6,46.5,3.9,0
1,32.3,81.4,10.1,1
0,21.6,53.9,2.8,0
0,25.0,77.3,8.8,0
0,35.6,48.9,8.8,0
1,29.0,79.0,2.7,1
1,30.2,54.7,17.4,1
0,20.7,85.7,8.3,1
1,24.6,76.0,11.6,0
0,18.7,52.8,4.6,1
0,14.2,47.0,2.9,0
1,30.1,84.2,17.7,1
0,23.5,75.8,8.7,1
1,30.3,93.5,10.7,1
1,39.4,88.9,5.0,1
0,14.3,59.4,0.3,0
0,22.8,78.8,1.3,1
1,27.4,72.0,3.6,0
0,19.1,36.2,0.3,0
0,4.4,85.8,2.4,0
0,22.1,37.4,0.3,0
1,36.5,99.0,42.1,1
1,28.9,66.6,20.7,0
0,19.3,51.7,0.9,0
1,28.3,69.4,5.6,0
1,32.9,58.9,1.6,0
1,33.8,93.9,10.6,1
1,26.2,79.4,8.2,0
1,35.7,86.6,7.6,1
0,20.0,51.8,1.0,0
0,25.1,84.0,3.2,1
0,20.9,49.6,2.2,0
1,28.2,80.5,5.1,1
1,29.6,79.4,4.0,0
0,29.3,41.8,2.7,0
1,30.2,84.8,40.3,0
0,17.2,61.4,2.7,0
0,25.0,17.6,28.3,0
0,16.2,79.4,0.7,0
1,25.1,68.3,22.1,0
1,18.8,69.5,18.0,0
0,21.4,36.4,4.0,0
0,26.1,42.8,0.1,0
0,24.0,76.8,1.5,1
0,30.3,59.7,6.6,0
1,22.4,79.6,6.1,0
1,29.7,105.1,6.8,0
0,11.0,54.5,6.6,0
0,25.8,56.8,1.0,0
1,29.2,72.4,16.0,0
1,32.8,80.5,4.4,0
0,23.4,71.1,11.1,1
0,20.2,74.7,6.9,1
0,14.4,59.3,1.6,0
1,23.9,69.3,16.2,0
1,37.6,67.8,1.7,0
1,28.4,67.1,4.8,0
0,29.4,49.1,0.1,0
0,28.4,64.1,13.5,0
1,39.5,65.2,21.8,0
1,23.1,90.1,42.4,0
0,24.0,51.6,1.5,0
1,38.2,80.0,5.5,1
1,24.1,90.8,10.6,1
0,22.2,56.7,13.6,0
1,31.5,87.3,23.5,1
0,16.1,50.7,5.6,0
0,13.8,60.3,3.5,0
0,33.4,40.8,6.8,0
0,12.7,45.5,1.1,0
0,20.6,66.2,7.0,0
0,20.0,60.6,15.7,0
0,19.0,52.3,3.3,0
1,23.9,68.9,33.1,1
0,26.7,48.5,9.7,0
0,24.7,42.6,14.5,0
1,28.0,59.1,20.8,0
1,26.2,72.7,32.4,1
1,34.0,67.4,27.9,0
0,21.1,60.1,9.8,0
1,33.1,88.7,22.6,1
0,21.6,56.1,0.3,0
0,29.2,53.7,2.4,0
0,23.1,73.4,1.0,1
0,36.9,59.0,3.1,0
1,30.7,88.4,2.2,1
1,34.1,90.6,9.0,1
0,18.6,60.0,2.6,0
0,28.4,76.8,1.6,0
0,21.2,59.6,7.5,0
1,30.1,80.4,9.2,1
0,23.7,23.0,2.9,0
0,41.5,89.6,0.7,1
1,27.1,78.9,21.8,0
1,19.8,62.1,30.7,0
0,25.0,71.0,2.7,1
1,32.3,71.7,14.4,0
1,32.0,78.8,8.5,0
0,19.8,34.8,1.2,0
1,24.4,85.2,2.6,0
0,23.9,57.5,2.8,0
1,17.1,81.8,9.4,1
0,18.5,59.9,0.2,1
0,29.5,48.3,2.1,0
0,22.6,85.6,9.9,1
1,29.4,79.8,13.2,1
0,17.1,67.3,3.9,1
1,23.1,93.0,0.1,1
0,26.0,46.7,2.1,0
0,17.3,43.6,0.4,0
1,19.1,84.7,10.8,1
0,9.5,53.7,0.6,1
0,21.1,50.1,1.8,0
1,30.3,74.5,2.6,0
0,23.1,74.5,0.4,1
0,25.5,48.8,0.9,0
0,22.0,50.1,7.3,1
0,21.0,58.2,1.7,0
1,21.1,64.0,15.7,0
1,23.5,85.1,7.4,1
0,25.9,67.2,5.2,0
1,23.7,81.0,9.5,1
0,19.7,53.1,1.0,0
1,26.0,82.7,79.5,1
0,18.0,72.6,4.9,0
0,29.1,62.2,0.4,0
0,28.2,33.7,2.2,0
0,29.4,60.7,2.4,0
0,18.3,44.4,1.8,0
0,31.7,67.4,2.3,0
1,27.3,65.7,32.3,0
0,29.8,38.4,0.1,0
1,26.2,78.5,18.8,0
0,17.7,52.1,0.8,0
1,28.0,77.8,2.6,0
1,29.6,96.5,43.2,1
1,21.0,81.6,3.6,1
0,15.4,32.8,7.1,0
0,27.7,58.6,0.3,0
1,20.3,78.0,27.2,1
0,10.9,41.6,16.3,0
